Grade,Family,Ni_min,Ni_max,Cr_min,Cr_max,Mo_min,Mo_max,N_min,N_max,Cu_min,Cu_max,Other_Elements,UTS_MPa_min,YS_MPa_min,EL_pct_min,Hardness,Max_Service_Temp_C,PREN_approx,Formability_Notes,Applications,Corrosion_Notes
J4-16Cr,Austenitic (Cr-Mn),1.0,2.0,16.0,17.0,,,0.10,0.25,1.5,2.0,Mn 9-10.5,650,325,40,100 HRB,,,LDR 1.7,"Mixing tanks, furniture, cookware, trailer/bus/rail frames, kitchen equip","Comparable to 304 in mild media"
J4,Austenitic (Cr-Mn),1.0,2.0,15.0,16.0,,,0,0.20,1.5,2.0,Mn 8.5-10,650,325,40,100 HRB,,,LDR 1.7,"Kitchen equip, furniture, bins, coal bucket, wear plate liners","Comparable to 304 in mild media"
J201 (S20100),Austenitic (lean-Ni Cr-Mn),3.5,5.5,16.0,18.0,,,0,0.25,,,Mn 5.5-7.5,515,260,40,95-100 HRB,,,,"Structural members, siding/roofing rail cars/trailers, severely formed parts","Comparable to 301"
J201L (S20103),Austenitic (low-C),3.5,5.5,16.0,18.0,,,0,0.25,,,Mn 5.5-7.5 low C,655,260,40,95 HRB,,,Weld-friendly,"Low-temp components, pots/pans, sinks, appliance parts, springs","Comparable to 301"
J201LN (S20153),Austenitic (N-enhanced),4.0,5.0,16.0,17.5,,,0.10,0.25,0,1.0,Mn 6.4-7.5,655,310,45,100 HRB,,,,"Welded structures, LNG storage vessels, rail/truck chassis, coal handling","Comparable to 301"
J202 (S20200),Austenitic (Cr-Mn),4.0,6.0,17.0,19.0,,,0,0.25,,,Mn 7.5-10,620,260,40,241 BHN,,,,"Antennas, refrigerator trays, wire mesh, cookware, sinks, railway stock","Comparable to 304 in moderate media"
J204,Austenitic (bridges 200/300),2.0,4.5,17.0,20.5,,,0,0.30,0,0.25,Mn 5-8,700,350,40,100 HRB,,,LDR 2.0,"Cookware, sinks, hose clamps, trailer frames, industrial strapping, rail stock","Comparable to 304 mild media"
J204Cu,Austenitic (Cu-added),1.5,3.5,16.0,17.5,,,0.10,0.25,2.0,4.0,Mn 6.5-9,620,310,40,100 HRB,,,80% cold reduction w/o annealing,"Kitchenware, sinks, appliances, architecture (handrails/frames), auto hose clamps","Low food-contact leaching; comparable to 304"
J216L,Austenitic (316L substitute),6.0,8.0,16.0,18.0,1.5,2.0,0.15,0.25,1.5,2.0,Mn 6-8,520,310,40,100 HRB,,25.0,,"Chemical/petrochemical, pulp&paper, oil&gas, marine, architecture trims","Outperforms 316L in citric/tartaric/acetic/HCl/HNO3/orthophosphoric acid"
JSL AUS,Austenitic (304 substitute),4.0,6.0,16.0,18.0,,,0,0.10,1.5,2.0,Mn 6-8,550,205,40,95 HRB,,,Drawability similar to 304,"Deep-drawing utensils, ordnance parts, water filters/tanks, auto trim, wheel caps","Superior to AISI 430; comparable to 304"
JSL U DD,Austenitic (Cr-Mn deep draw),0.5,0.8,14.75,16.25,,,0,0.20,1.75,2.5,Mn 9.75-11,700,350,40,100 HRB,,,Deep drawn up to 10 inch,"Medium/deep drawn utensils","Comparable to 304 in mild/moderate media"
EN 1.4828,Austenitic (heat resistant),11.0,13.0,19.0,21.0,,,,,,,Si 1.5-2.5,550-750,230,28,95 HRB,1000,,,"Furnace parts, conveyor belts, heat exchangers, refinery equip","Better than 304 in marine atmosphere"
EN 1.4841,Austenitic (heat resistant),19.0,22.0,24.0,26.0,,,,,,,Si 1.5-2.5,550-750,230,28,95 HRB,1200,,,"Furnace parts, heat exchangers, refinery/chemical equip","Superior carburizing resistance vs 304"
J301,Austenitic,6.0,8.0,16.0,18.0,,,,0.10,,,,515,205,40,95 HRB,,,Work-hardens for strength,"Rail/metro coaches, aircraft structural parts, trailer bodies","Comparable to 304 mild environment"
J301L,Austenitic (low C),6.0,8.0,16.0,18.0,,,,0.20,,,Low C,550,220,45,100 HRB,,,Temperable up to 1/2 hard (YS690/UTS930),"Coaches, wagons, springs, auto gaskets","Comparable to 304"
J301LN,Austenitic (N),6.0,8.0,16.0,18.0,,,0.07,0.20,,,,550,240,45,100 HRB,,,,"Same as 301L, higher strength","Comparable to 304"
J304,Austenitic (standard),8.0,10.5,17.5,19.5,,,,0.10,,,,515,205,40,92 HRB,,20,Excellent deep drawability,"Food, pharma, dairy, chemical, architecture, utensils, heat exchangers","Excellent all-round resistance"
J304L,Austenitic (low C),8.0,12.0,17.5,19.5,,,,0.10,,,Low C,485,170,40,92 HRB,,,No PWHT needed,"Tanks/containers, cryogenic, mining, chemical, food","Excellent intergranular resistance"
J304H,Austenitic (high C),8.0,10.5,18.0,20.0,,,,,,,Higher C,515,205,40,92 HRB,,,Higher strength >450C,"Refineries, boilers, heat exchangers, power plants","Same as 304"
J304LN,Austenitic (N-strengthened),8.0,12.0,18.0,20.0,,,0.10,0.16,,,,515,205,40,95 HRB,,,Higher YS/UTS than 304L,"Heat exchangers, nuclear, pressure vessels, flanges","Same as 304L"
"304*","Austenitic (cost-optimized)",6.0,8.5,18.0,20.0,,,0.10,0.20,,,"Lower Ni higher N",515,205,40,"92 HRB (typ YS351)",,21,,"Appliances, architecture, cookware, dairy, food processing","Higher PREN than std 304; recommended for organic acids"
J305,Austenitic (max formability),10.5,13.0,17.0,19.0,,,,,,,,485,170,40,88 HRB,900,,Max formability,"Spun/deep drawn eyelets, barrels, rivets, screws","Good in chemical/textile/petroleum/dairy/food"
J309S,Austenitic (heat resistant),12.0,15.0,22.0,24.0,,,,,,,,515,205,40,95 HRB,1090,,,"Furnace parts, kiln liners, boiler baffles, auto-exhaust","Better than 304 in marine; resists nitric/acetic/citric/lactic acids"
J310S,Austenitic (heat resistant),19.0,22.0,24.0,26.0,,,,,,,,515,205,40,95 HRB,,,,"Air heaters, gas turbine parts, jet engine diaphragms, oil refinery","Excellent SCC resistance in chloride/alkaline; resists nitric acid"
J316,Austenitic (Mo-added),10.0,14.0,16.0,18.0,2.0,3.0,,0.10,,,,515,205,40,95 HRB,,24,,"Marine, chemical/food/pharma processing, textile equip","Good pitting/crevice resistance in chlorides"
J316L,"Austenitic (Mo, low C)",10.0,14.0,16.0,18.0,2.0,3.0,,0.10,,,"Low C",485,170,40,"95 HRB",,24,,"Food/chem/petrochem, brewery, coastal architecture, heat exchangers","Excellent intergranular resistance"
J316Ti,Austenitic (Ti-stabilized),10.0,14.0,16.0,18.0,2.0,3.0,,0.10,,,Ti-stabilized,515,205,40,95 HRB,,,,"Chemical & petrochemical industry","IGC resistant at elevated temp"
317L,Austenitic (high Mo),11.0,15.0,18.0,20.0,3.0,4.0,,0.10,,,Low C,515,205,40,95 HRB,,,,"Chemical/petrochem, pulp&paper, power plant condensers","Excellent in acidic chloride environments"
317LN,Austenitic (high Mo+N),11.0,15.0,18.0,20.0,3.0,4.0,0.10,0.22,,,,550,240,40,95 HRB,,,,"Tanks/vessels needing higher strength than 317L","Higher pitting resistance than 316L/317L"
317LMN,Austenitic (highest Mo+N),13.5,17.5,17.0,20.0,4.0,5.0,0.10,0.20,,,,550,240,40,96 HRB,,,,"Flue gas desulfurization, highly corrosive chem/food/pharma","Near 904L performance"
J321,Austenitic (Ti-stabilized),9.0,13.0,17.0,19.0,,,,0.10,,,Ti-stabilized,515,205,40,95 HRB,900,,,"Exhaust stacks/manifolds, pressure vessels, mufflers","Improved IGC resistance 450-900C"
J347,Austenitic (Nb-stabilized),9.0,13.0,17.0,19.0,,,,,,,Nb-stabilized,515,205,40,92 HRB,,,,"Gaskets, rocket/aircraft parts, exhaust manifolds","More resistant than 321 in oxidizing env"
J904L,"Austenitic (super, high Ni/Mo)",23.0,28.0,19.0,23.0,4.0,5.0,,0.10,1.0,2.0,"Low C",490,220,35,"90 HRB",,34,,"Sulphuric/phosphoric acid handling, fertilizer, pulp bleaching, sea-water HX","Excellent SCC resistance (25% Ni)"
UNS S30815,Austenitic (heat resistant Si+Ce),10.0,12.0,20.0,22.0,,,0.14,0.20,,,Si+Ce,600,310,40,95 HRB,1100,,,"Heat exchanger tubes, furnaces, waste incineration, recuperators","Very high oxidation resistance"
J409L,Ferritic (Ti-stabilized),,0.50,10.5,11.7,,,,0.030,,,Ti-stabilized,380,170,20,88 HRB,800,,Good cold workability,"Auto exhaust: manifolds, front pipes, catalytic shells, mufflers","250x mild steel; not for decorative use"
J409Ni,Ferritic (Ti-stabilized+Ni),0.50,1.00,10.5,11.7,,,,0.030,,,Ti-stabilized,415,275,20,92 HRB,,,,"Bulk material handling, vehicle chassis, rail hoppers, walkways","250x mild steel corrosion resistance"
J410S,Ferritic,,0.60,11.5,13.5,,,,,,,,415,205,22,89 HRB,,,,"Furnace parts/burners (low temp), petroleum tower internals","Better than 409 (higher Cr)"
J430L/J430Mint,Ferritic (low C),,0.75,16.0,18.0,,,,,,,No Ni/Cu,450,205,22,89 HRB,875 intermit/740 cont,,Excellent polishing,"Coin minting, decorative panels, home appliances, auto trims","Excellent vs nitric acid, organic/food acids; high SCC resistance"
J430SM,Ferritic (indoor grade),,0.75,13.0,14.0,,,,,,,Low C,415,205,22,89 HRB,,,,"Decorative panels, appliances, auto trims (indoor)","Passes 72hr salt spray test"
J430,Ferritic (standard),,0.75,16.0,18.0,,,,,,,,450,205,22,89 HRB,875 intermit/740 cont,,Low work hardening; good for compressive forming,"Decorative panels, appliances, auto trims","Good vs nitric acid; weaker vs chloride pitting than austenitic"
J432/436J1L,Ferritic (stabilized),,,17.0,20.0,0.4,0.8,,0.025,,,Nb-stabilized,410,245,20,90 HRB,900,,Excellent deep drawability,"Auto exhaust (mufflers/pipes), trim, kitchen furnishing","Excellent pitting/crevice resistance; SCC resistant"
J436L,Ferritic (Mo+Nb/Ti stabilized),,0.50,16.0,19.0,0.75,1.5,,0.025,,,Nb or Ti-stabilized,410-450,240-245,20-22,89-96 HRB,900,,Excellent deep drawability,"Auto exhaust, trim, solar water heater, comm shelters","Excellent SCC resistance; CPT 403C for 1000ppm Cl"
J439,Ferritic (Ti+Nb stabilized),,0.50,17.0,19.0,,,,0.030,,,Ti+Nb,415,205,22,89 HRB,850-950,,,"Auto exhaust (manifolds/mufflers/catalytic conv), hot water tanks","Pitting resistance superior to AISI 304; not SCC susceptible"
J441,"Ferritic (dual stabilized)",,,17.5,18.5,,,,,,,"Ti+Nb",430,250,18,"88 HRB",980,,"Good weldability, retains properties in HAZ","Auto exhaust, solar hot water/collector/panel, exchanger tubes","Very high SCC resistance"
J444,Ferritic (dual-stabilized+Mo),,1.00,17.5,19.5,1.75,2.5,,0.035,,,Ti+Nb,415,275,20,96 HRB,,,,"Heat exchangers, water heaters, boilers, food/brewery/wine equip","Exceptional pitting/crevice resistance; resists MgCl/NaCl SCC 500hrs"
J445,Ferritic (Nb-stabilized),,0.60,19.0,21.0,,,,0.03,0.30,0.60,Nb-stabilized,427,205,22,83 HRB,,19.5,Cannot be strengthened by heat treatment,"White goods, catalytic converters, cookware","Equivalent to SUS304; no chloride SCC"
EN1.4003/S40977,Ferritic (utility),0.30,1.00,10.5,12.5,,,,0.030,,,,450,280,18-20,88 HRB,650 cont/740 intermit,,Good weldability up to 30mm,"Bulk handling, chassis, hoppers, tanks, walkways","250x mild steel life in marine atmosphere"
J410,Martensitic,,0.75,11.5,13.5,,,,,,,,450,205,20,96 HRB,650,,,"Cutlery, knives, pump parts, valves, fasteners","Good in mild atmospheres; needs passivation"
J410DB,Martensitic (disc brake),,0.60,10.0,14.50,,,,0.030,,,,410,205,20,75-88 HRB,,,,"Disc brakes for two/four-wheelers","Superior abrasion resistance, moderate corrosion resistance"
J415,Martensitic (high toughness),3.5,5.5,11.5,14.0,0.5,1.0,,,,,,795,620,15,302 HB,,,,"Heavy engineering applications","Good vs mild acids/alkalis, moderate Cl"
J420J1,Martensitic (hardenable),,0.6,12.0,14.0,,,,,,,Higher C,520,225,18,97 HRB,,,,"Cutlery, pump valves/bushings, screwdrivers","Moderate; best hardened & tempered"
J420J2,"Martensitic (hardenable, harder)",,0.6,12.0,14.0,,,,,,,"Higher C",540,225,18,"99 HRB",,,,"Same as J420J1, harder","Moderate; best hardened & tempered"
J431,Martensitic,1.25,2.50,15.0,17.0,,,,,,,,,,,285 HB,,,,"Heavy machinery structural components","Relatively better due to lower C, higher Cr"
EN1.4116,Martensitic (cutlery),,,14.0,15.0,0.5,0.8,,,,,V 0.1-0.2 high C,850 max,,12,100 HRB,,,,"Cutlery, professional knives","Good due to higher Cr and Mo"
J2101,Lean Duplex,1.35,1.70,21.0,22.0,0.10,0.80,0.20,0.25,0.10,0.80,Mn 4-6,650,450,30,290 BHN,,23,High strength,"Storage tanks (palm oil/wine/water), bridges, sluice gates, heat exchangers","Comparable to 316L; CPT ~20C"
J2304,Lean Duplex,3.0,5.5,21.5,24.5,0.05,0.60,0.05,0.20,0.05,0.60,,600,400,25,290 BHN,,25,High strength,"Storage tanks, infrastructure, heat exchangers, sea-water systems","Comparable to 316L; CPT ~25C"
J31803,Standard Duplex,4.50,6.50,21.0,23.0,2.5,3.5,0.08,0.20,,,,620,450,25,293 BHN,,34,Higher YS than austenitic = material savings,"Chemical (sour gas/chloride), oil&gas, cargo tanks, pulp/paper digesters","Better than 316L; CPT ~50C, CCT ~15C"
J2205,Standard Duplex,4.50,6.50,21.0,23.0,2.5,3.5,0.10,0.22,,,,655,450,25,293 BHN,,35,Most widely used duplex (80% market),"Same as 31803, offshore structures","Better than 316L; CPT ~55C, CCT ~15C"
J2507,Super Duplex,6.0,8.0,24.0,26.0,3.0,5.0,0.24,0.32,0,0.50,,795,550,15,310 BHN,,41,High strength,"Sea water desalination, petrochemical, oil&gas, fertilizer, mining, sewage","Close to 6% Mo super-austenitic; CPT ~65-80C"
J32760,Super Duplex (W-alloyed),6.0,8.0,24.0,26.0,3.0,4.0,0.20,0.30,0.50,1.00,W 0.5-1.0,750,550,25,310 BHN,,41,High strength,"Same as 2507, high-chloride high-strength service","CPT ~80C, CCT ~50C (best of duplex family)"
